"db","group","conc_m3","min_d","max_d","mp","stationid"
"(160,200]","bv55c15",0,160,200,180,"st6"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(200,300]","bv55c15",0,200,300,250,"st6"
"(40,80]","bv55c15",5.64836733321954,40,80,60,"st6"
"(40,80]","bv55c15",1.63269563255506,40,80,60,"st6"
"(40,80]","bv55c15",1.92236047178863,40,80,60,"st6"
"(40,80]","bv55c15",2.03430352570623,40,80,60,"st6"
"(40,80]","bv55c15",0,40,80,60,"st6"
"(80,120]","bv55c15",58.0859690255638,80,120,100,"st6"
"(80,120]","bv55c15",3.31582654497796,80,120,100,"st6"
"(80,120]","bv55c15",0,80,120,100,"st6"
"(80,120]","bv55c15",3.28181236875443,80,120,100,"st6"
"(80,120]","bv55c15",2.4797215203071,80,120,100,"st6"
"(0,40]","bv55c16",23.8351167917032,0,40,20,"st7"
"(0,40]","bv55c16",10.9415569595254,0,40,20,"st7"
"(0,40]","bv55c16",7.40793508283201,0,40,20,"st7"
"(0,40]","bv55c16",0,0,40,20,"st7"
"(0,40]","bv55c16",0,0,40,20,"st7"
"(1.1e+03,1.2e+03]","bv55c16",1.14227215721165,1100,1200,1150,"st7"
"(1.1e+03,1.2e+03]","bv55c16",2.36562572288769,1100,1200,1150,"st7"
"(1.1e+03,1.2e+03]","bv55c16",0,1100,1200,1150,"st7"
"(1.1e+03,1.2e+03]","bv55c16",0,1100,1200,1150,"st7"
"(1.1e+03,1.2e+03]","bv55c16",0,1100,1200,1150,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.2e+03,1.3e+03]","bv55c16",0,1200,1300,1250,"st7"
"(1.3e+03,1.4e+03]","bv55c16",2.88498150431431,1300,1400,1350,"st7"
"(1.3e+03,1.4e+03]","bv55c16",0.339823576987665,1300,1400,1350,"st7"
"(1.3e+03,1.4e+03]","bv55c16",0,1300,1400,1350,"st7"
"(1.3e+03,1.4e+03]","bv55c16",0,1300,1400,1350,"st7"
"(1.3e+03,1.4e+03]","bv55c16",0,1300,1400,1350,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0.898333866704073,1400,1600,1500,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0,1400,1600,1500,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0,1400,1600,1500,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0,1400,1600,1500,"st7"
"(1.4e+03,1.6e+03]","bv55c16",0,1400,1600,1500,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0.230785158979885,1600,1800,1700,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0,1600,1800,1700,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0,1600,1800,1700,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0,1600,1800,1700,"st7"
"(1.6e+03,1.8e+03]","bv55c16",0,1600,1800,1700,"st7"
"(1.8e+03,2e+03]","bv55c16",8.91830819802856,1800,2000,1900,"st7"
"(1.8e+03,2e+03]","bv55c16",0,1800,2000,1900,"st7"
"(1.8e+03,2e+03]","bv55c16",0,1800,2000,1900,"st7"
"(1.8e+03,2e+03]","bv55c16",0,1800,2000,1900,"st7"
"(1.8e+03,2e+03]","bv55c16",0,1800,2000,1900,"st7"
"(120,160]","bv55c16",0,120,160,140,"st7"
"(120,160]","bv55c16",0,120,160,140,"st7"
