"db","group","conc_m3","min_d","max_d","mp","stationid"
"(300,400]","bv55c13",0,300,400,350,"st6"
"(300,400]","bv55c13",0,300,400,350,"st6"
"(300,400]","bv55c13",0,300,400,350,"st6"
"(300,400]","bv55c13",0,300,400,350,"st6"
"(40,80]","bv55c13",3.95726157499011,40,80,60,"st6"
"(40,80]","bv55c13",1.79875526135914,40,80,60,"st6"
"(40,80]","bv55c13",1.43900420908731,40,80,60,"st6"
"(40,80]","bv55c13",0,40,80,60,"st6"
"(40,80]","bv55c13",0,40,80,60,"st6"
"(400,500]","bv55c13",0.438962293139019,400,500,450,"st6"
"(400,500]","bv55c13",0,400,500,450,"st6"
"(400,500]","bv55c13",0,400,500,450,"st6"
"(400,500]","bv55c13",0,400,500,450,"st6"
"(400,500]","bv55c13",0,400,500,450,"st6"
"(500,600]","bv55c13",2.20118864186661,500,600,550,"st6"
"(500,600]","bv55c13",0,500,600,550,"st6"
"(500,600]","bv55c13",0,500,600,550,"st6"
"(500,600]","bv55c13",0,500,600,550,"st6"
"(500,600]","bv55c13",0,500,600,550,"st6"
"(600,700]","bv55c13",0.432282885920546,600,700,650,"st6"
"(600,700]","bv55c13",0.432282885920546,600,700,650,"st6"
"(600,700]","bv55c13",0,600,700,650,"st6"
"(600,700]","bv55c13",0,600,700,650,"st6"
"(600,700]","bv55c13",0,600,700,650,"st6"
"(700,800]","bv55c13",0.433933608157952,700,800,750,"st6"
"(700,800]","bv55c13",1.30180082447386,700,800,750,"st6"
"(700,800]","bv55c13",0,700,800,750,"st6"
"(700,800]","bv55c13",0,700,800,750,"st6"
"(700,800]","bv55c13",0,700,800,750,"st6"
"(80,120]","bv55c13",0.278264741074658,80,120,100,"st6"
"(80,120]","bv55c13",1.39132370537329,80,120,100,"st6"
"(80,120]","bv55c13",6.12182430364248,80,120,100,"st6"
"(80,120]","bv55c13",0,80,120,100,"st6"
"(80,120]","bv55c13",0,80,120,100,"st6"
"(800,900]","bv55c13",0.869943453675511,800,900,850,"st6"
"(800,900]","bv55c13",0,800,900,850,"st6"
"(800,900]","bv55c13",0,800,900,850,"st6"
"(800,900]","bv55c13",0,800,900,850,"st6"
"(800,900]","bv55c13",0,800,900,850,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(900,1e+03]","bv55c13",0,900,1000,950,"st6"
"(0,40]","bv55c15",0.245302457930628,0,40,20,"st6"
"(0,40]","bv55c15",0,0,40,20,"st6"
"(0,40]","bv55c15",0.981209831722514,0,40,20,"st6"
"(0,40]","bv55c15",1.47181474758377,0,40,20,"st6"
"(0,40]","bv55c15",0,0,40,20,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(120,160]","bv55c15",0,120,160,140,"st6"
"(160,200]","bv55c15",0.544040041347043,160,200,180,"st6"
"(160,200]","bv55c15",0,160,200,180,"st6"
"(160,200]","bv55c15",0,160,200,180,"st6"
"(160,200]","bv55c15",0,160,200,180,"st6"
"(160,200]","bv55c15",0,160,200,180,"st6"
